Partition D1A27F64-3380-11E0-9C69-F35878AF207B
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x -409.2032165527344
			y 61.7060432434082
			z 698.692138671875
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 1715783D-8375-4B57-B1CB-F96AE20D4D09
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 46
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x 176.92247009277344
			y 61.7060432434082
			z 363.6177978515625
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 50DCEC7D-E5BC-4516-9346-6DF9B5A43473
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 47
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x 58.714717864990234
			y 61.7060432434082
			z 476.9398193359375
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 539C54C6-2EB7-4F76-9592-282AC0EEB99E
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 48
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x -59.479576110839844
			y 61.7060432434082
			z 590.24853515625
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 870693B8-D14A-4333-9BA8-30B06D74428F
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 49
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x -177.68284606933594
			y 61.7060432434082
			z 703.56787109375
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 97568E47-36BD-47D6-AFB3-1E3A7C0323B7
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 50
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x -295.8896179199219
			y 61.7060432434082
			z 816.888427734375
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 5ED2C25D-FB0B-4394-80E1-FFD1AE604A61
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 51
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x -49.678680419921875
			y 61.7060432434082
			z 127.2491683959961
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 4563B4DD-5520-434E-AABA-5615DFEA8884
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 52
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x -167.88641357421875
			y 61.7060432434082
			z 240.57113647460938
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData AAECA835-AC49-49D3-A152-BD823886D036
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 53
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x -286.0807189941406
			y 61.7060432434082
			z 353.87982177734375
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 7C512434-2973-4FC5-92C5-C393AFC07304
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 54
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x -404.28399658203125
			y 61.7060432434082
			z 467.19927978515625
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 015B36CF-0BF4-4212-B820-2587B11D7691
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 55
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x -522.4908447265625
			y 61.7060432434082
			z 580.52001953125
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 3B2B93C7-6287-4A6C-9881-28783A753FA5
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 56
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x 290.2417297363281
			y 61.7060432434082
			z 481.8240661621094
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData E1F9733C-07D5-4BC6-B3C8-A6C53D4CD5A2
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 57
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x 172.0340576171875
			y 61.7060432434082
			z 595.1460571289062
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 035F0154-67D5-4668-813A-3BC814A93281
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 58
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x 53.83977127075195
			y 61.7060432434082
			z 708.454833984375
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 1AD3F006-8A5E-4B20-9A6F-6DE0DAFD319E
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 59
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x -64.36345672607422
			y 61.7060432434082
			z 821.774169921875
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 8653FD25-38EE-43CA-80B3-0D325348AADA
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 60
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x -182.57020568847656
			y 61.7060432434082
			z 935.0948486328125
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 2F5D0573-EB37-44CB-BC8F-086742BBDB28
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 61
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x -399.4064636230469
			y 61.7060432434082
			z 235.6690673828125
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
ReferenceObjectData 373EAB90-E6C3-4218-BE12-0F77731A4DF0
	$::GameObjectData
		$::GameDataContainer
			$::DataContainer
		IsEventConnectionTarget 3
		IsPropertyConnectionTarget 3
		IndexInBlueprint 62
	BlueprintTransform::LinearTransform
		right::Vec3
			x -0.6920310854911804
			y 0.0
			z -0.7218673229217529
		up::Vec3
			x 0.0
			y 1.0
			z 0.0
		forward::Vec3
			x 0.7218673229217529
			y 0.0
			z -0.6920310854911804
		trans::Vec3
			x -512.73291015625
			y 61.7060432434082
			z 117.45751190185547
	Blueprint Levels/MP_017/Terrain/MP_017_Waves_01_Animated/38E8B2FA-B3EB-425C-9C3E-509B381BC583
	ObjectVariation *nullGuid*
	StreamRealm StreamRealm_None
	CastSunShadowEnable True
	Excluded False
TerrainEntityData 12CD2CB9-6623-4ADA-9894-6C4126039C58
	$::GamePhysicsEntityData
		$::GameEntityData
			$::SpatialEntityData
				$::EntityData
					$::GameObjectData
						$::GameDataContainer
							$::DataContainer
						IsEventConnectionTarget 3
						IsPropertyConnectionTarget 3
						IndexInBlueprint 36
				Transform::LinearTransform
					right::Vec3
						x 1.0
						y 0.0
						z 0.0
					up::Vec3
						x 0.0
						y 1.0
						z 0.0
					forward::Vec3
						x 0.0
						y 0.0
						z 1.0
					trans::Vec3
						x 0.0
						y 0.0
						z 0.0
			Enabled True
			Components *nullArray*
			RuntimeComponentCount 0
		PhysicsData *nullGuid*
	TerrainAsset Levels/MP_017/Terrain/MP_017_Terrain/9818E77B-CEE2-ACA5-3427-2678BAAA02FE
	WaterMaterial Materials/MaterialContainer/1F40A6E6-1889-46E1-9B38-916BF12EA431
	Visible True
TestPointEntityData 140208F2-9ECA-4BAD-BA5B-2595057200E6
	$::GameEntityData
		$::SpatialEntityData
			$::EntityData
				$::GameObjectData
					$::GameDataContainer
						$::DataContainer
					IsEventConnectionTarget 3
					IsPropertyConnectionTarget 3
					IndexInBlueprint 37
			Transform::LinearTransform
				right::Vec3
					x 0.7013053894042969
					y 0.0
					z -0.7128609418869019
				up::Vec3
					x 0.0
					y 1.0
					z 0.0
				forward::Vec3
					x 0.7128609418869019
					y 0.0
					z 0.7013053894042969
				trans::Vec3
					x -368.2906799316406
					y 86.86190032958984
					z 93.45738983154297
		Enabled True
		Components *nullArray*
		RuntimeComponentCount 0
	OutputName MP17_Testpoint
WorldPartData D78372AD-FAF8-D41C-59A6-C5377191D480 #primary instance
	$::SpatialPrefabBlueprint
		$::PrefabBlueprint
			$::Blueprint
				$::EntityBusData
					$::DataBusData
						$::Asset
							$::DataContainer
							Name Levels/MP_017/Default
						PropertyConnections *nullArray*
						LinkConnections *nullArray*
					EventConnections *nullArray*
					Descriptor *nullGuid*
					NeedNetworkId False
					InterfaceHasConnections False
					AlwaysCreateEntityBusClient False
					AlwaysCreateEntityBusServer False
			Objects::array
				member(0) 12CD2CB9-6623-4ADA-9894-6C4126039C58
				member(1) 140208F2-9ECA-4BAD-BA5B-2595057200E6
				member(2) DEC35F90-8ECD-428D-A7D4-12561B237345
				member(3) 303DA495-72E4-45F7-91D3-3FF4CDEE4659
				member(4) C5403634-5BF7-4031-A34E-16BDFEFF831E
				member(5) E4BA1085-E6B2-49D8-8F29-03F1EEEA7A0B
				member(6) AF0C9C3E-F6DB-4D99-9F0E-6F857BCBE44F
				member(7) BB38CD66-7676-451B-9330-D8773CD695AD
				member(8) 0C14F8DF-6A71-4C2C-9CFC-0CF7DE9F3964
				member(9) C9FB953F-FB14-41D1-8EF5-A9BDAB3547E8
				member(10) 1715783D-8375-4B57-B1CB-F96AE20D4D09
				member(11) 50DCEC7D-E5BC-4516-9346-6DF9B5A43473
				member(12) 539C54C6-2EB7-4F76-9592-282AC0EEB99E
				member(13) 870693B8-D14A-4333-9BA8-30B06D74428F
				member(14) 97568E47-36BD-47D6-AFB3-1E3A7C0323B7
				member(15) 5ED2C25D-FB0B-4394-80E1-FFD1AE604A61
				member(16) 4563B4DD-5520-434E-AABA-5615DFEA8884
				member(17) AAECA835-AC49-49D3-A152-BD823886D036
				member(18) 7C512434-2973-4FC5-92C5-C393AFC07304
				member(19) 015B36CF-0BF4-4212-B820-2587B11D7691
				member(20) 3B2B93C7-6287-4A6C-9881-28783A753FA5
				member(21) E1F9733C-07D5-4BC6-B3C8-A6C53D4CD5A2
				member(22) 035F0154-67D5-4668-813A-3BC814A93281
				member(23) 1AD3F006-8A5E-4B20-9A6F-6DE0DAFD319E
				member(24) 8653FD25-38EE-43CA-80B3-0D325348AADA
				member(25) 2F5D0573-EB37-44CB-BC8F-086742BBDB28
				member(26) 373EAB90-E6C3-4218-BE12-0F77731A4DF0
	Enabled True
	UseDeferredEntityCreation False
	HackToSolveRealTimeTweakingIssue 0CA61ECA-C742-F3CE-F020-BB2B24866E49
